InvoiceNo,CustomerID,InvoiceDate,ProductID,ProductName,Category,UnitPrice,Quantity,Amount
INV200088,C1039,2024-01-05 15:52:12,P034,Salmon (lb),Seafood,11.19,3,33.57
INV200088,C1039,2024-01-05 15:52:12,P040,Paper Towels,Household,6.76,2,13.52
INV200087,C1059,2024-01-05 15:58:39,P034,Salmon (lb),Seafood,11.26,1,11.26
INV200133,C1096,2024-01-05 16:02:02,P012,Parmesan,Dairy,5.5,2,11.0
INV200133,C1096,2024-01-05 16:02:02,P034,Salmon (lb),Seafood,10.2,1,10.2
INV201096,C1112,2024-01-05 20:41:31,P003,Jam,Pantry,2.79,2,5.58
INV201096,C1112,2024-01-05 20:41:31,P001,Bread,Bakery,2.92,1,2.92
INV200568,C1146,2024-01-06 08:05:22,P054,Cranberry Sauce,Seasonal,2.46,3,7.38
INV200568,C1146,2024-01-06 08:05:22,P055,Chocolate Box,Seasonal,9.13,2,18.26
INV200100,C1221,2024-01-06 23:59:09,P007,Creamer,Dairy,1.84,1,1.84
INV200100,C1221,2024-01-06 23:59:09,P005,Coffee,Beverages,9.56,1,9.56
INV200100,C1221,2024-01-06 23:59:09,P011,Tomato Sauce,Pantry,2.58,1,2.58
INV200881,C1036,2024-01-07 00:21:16,P011,Tomato Sauce,Pantry,3.02,2,6.04
INV200881,C1036,2024-01-07 00:21:16,P010,Pasta,Pantry,2.04,2,4.08
INV200862,C1084,2024-01-07 01:13:17,P051,Hot Dogs,Seasonal,2.11,1,2.11
INV200862,C1084,2024-01-07 01:13:17,P030,Bananas (Bunch),Produce,0.88,2,1.76
INV200749,C1248,2024-01-07 04:59:24,P020,Chips,Snacks,1.69,2,3.38
INV200029,C1029,2024-01-07 08:50:22,P020,Chips,Snacks,2.78,2,5.56
INV200029,C1029,2024-01-07 08:50:22,P021,Soda,Beverages,1.93,2,3.86
INV200029,C1029,2024-01-07 08:50:22,P022,Salsa,Snacks,4.32,3,12.96
INV200043,C1234,2024-01-07 14:47:30,P002,Butter,Dairy,2.13,1,2.13
INV200043,C1234,2024-01-07 14:47:30,P001,Bread,Bakery,3.49,1,3.49
INV200457,C1077,2024-01-07 23:32:31,P005,Coffee,Beverages,7.17,2,14.34
INV200906,C1098,2024-01-08 09:31:08,P012,Parmesan,Dairy,3.8,1,3.8
INV200906,C1098,2024-01-08 09:31:08,P020,Chips,Snacks,3.43,1,3.43
INV200732,C1020,2024-01-08 11:45:22,P011,Tomato Sauce,Pantry,1.71,2,3.42
INV200732,C1020,2024-01-08 11:45:22,P010,Pasta,Pantry,2.38,3,7.14
INV200732,C1020,2024-01-08 11:45:22,P012,Parmesan,Dairy,4.41,3,13.23
INV200732,C1020,2024-01-08 11:45:22,P003,Jam,Pantry,3.5,3,10.5
INV200732,C1020,2024-01-08 11:45:22,P021,Soda,Beverages,1.32,2,2.64
INV201050,C1145,2024-01-08 15:52:24,P050,BBQ Sauce,Seasonal,2.51,1,2.51
INV201050,C1145,2024-01-08 15:52:24,P011,Tomato Sauce,Pantry,3.15,1,3.15
INV200692,C1104,2024-01-10 02:18:10,P021,Soda,Beverages,1.83,2,3.66
INV200931,C1198,2024-01-10 13:36:20,P054,Cranberry Sauce,Seasonal,2.95,2,5.9
INV200931,C1198,2024-01-10 13:36:20,P013,Garlic Bread,Bakery,2.02,1,2.02
INV200931,C1198,2024-01-10 13:36:20,P021,Soda,Beverages,1.03,1,1.03
INV200601,C1077,2024-01-10 20:32:43,P031,Apples (Bag),Produce,3.32,2,6.64
INV200601,C1077,2024-01-10 20:32:43,P004,Eggs (Dozen),Dairy,2.07,1,2.07
INV200567,C1233,2024-01-10 23:40:39,P051,Hot Dogs,Seasonal,3.89,1,3.89
INV200329,C1171,2024-01-11 02:05:35,P005,Coffee,Beverages,11.89,2,23.78
INV200329,C1171,2024-01-11 02:05:35,P013,Garlic Bread,Bakery,2.73,2,5.46
INV200329,C1171,2024-01-11 02:05:35,P006,Sugar,Pantry,1.35,1,1.35
INV200659,C1028,2024-01-11 14:28:14,P055,Chocolate Box,Seasonal,8.55,1,8.55
INV200659,C1028,2024-01-11 14:28:14,P022,Salsa,Snacks,2.79,1,2.79
INV201030,C1089,2024-01-11 21:42:31,P031,Apples (Bag),Produce,4.55,2,9.1
INV200753,C1028,2024-01-12 02:50:55,P002,Butter,Dairy,2.68,3,8.04
INV200753,C1028,2024-01-12 02:50:55,P001,Bread,Bakery,3.23,1,3.23
INV200919,C1055,2024-01-12 07:48:56,P055,Chocolate Box,Seasonal,14.97,2,29.94
INV200982,C1163,2024-01-13 05:15:52,P031,Apples (Bag),Produce,4.61,2,9.22
INV200855,C1232,2024-01-13 14:00:41,P033,Ground Beef (lb),Meat,6.12,2,12.24
INV200855,C1232,2024-01-13 14:00:41,P053,Turkey (lb),Seasonal,1.82,2,3.64
INV200762,C1039,2024-01-13 23:43:27,P004,Eggs (Dozen),Dairy,2.85,1,2.85
INV200762,C1039,2024-01-13 23:43:27,P054,Cranberry Sauce,Seasonal,2.55,1,2.55
INV200657,C1050,2024-01-14 02:47:23,P005,Coffee,Beverages,10.55,1,10.55
INV200657,C1050,2024-01-14 02:47:23,P007,Creamer,Dairy,2.82,3,8.46
INV200752,C1168,2024-01-14 11:01:26,P052,Pumpkin Spice Mix,Seasonal,3.12,2,6.24
INV200453,C1192,2024-01-14 19:31:42,P012,Parmesan,Dairy,5.02,3,15.06
INV200489,C1240,2024-01-14 21:25:46,P051,Hot Dogs,Seasonal,4.86,1,4.86
INV201189,C1166,2024-01-15 19:32:18,P007,Creamer,Dairy,2.89,2,5.78
INV201189,C1166,2024-01-15 19:32:18,P005,Coffee,Beverages,11.09,1,11.09
INV200520,C1236,2024-01-16 06:09:15,P013,Garlic Bread,Bakery,3.14,1,3.14
INV200645,C1081,2024-01-16 06:45:07,P013,Garlic Bread,Bakery,3.04,3,9.12
INV200645,C1081,2024-01-16 06:45:07,P004,Eggs (Dozen),Dairy,3.46,2,6.92
INV200499,C1055,2024-01-16 15:05:39,P052,Pumpkin Spice Mix,Seasonal,5.48,1,5.48
INV200499,C1055,2024-01-16 15:05:39,P031,Apples (Bag),Produce,4.93,1,4.93
INV200499,C1055,2024-01-16 15:05:39,P022,Salsa,Snacks,3.17,1,3.17
INV200910,C1073,2024-01-16 18:24:30,P013,Garlic Bread,Bakery,3.4,2,6.8
INV200910,C1073,2024-01-16 18:24:30,P010,Pasta,Pantry,2.11,4,8.44
INV200910,C1073,2024-01-16 18:24:30,P050,BBQ Sauce,Seasonal,3.89,2,7.78
INV200202,C1112,2024-01-16 20:21:17,P010,Pasta,Pantry,1.88,1,1.88
INV200202,C1112,2024-01-16 20:21:17,P013,Garlic Bread,Bakery,2.79,1,2.79
INV200926,C1228,2024-01-17 04:13:56,P032,Chicken Breast (lb),Meat,5.08,2,10.16
INV200518,C1163,2024-01-17 14:42:47,P055,Chocolate Box,Seasonal,6.76,2,13.52
INV200518,C1163,2024-01-17 14:42:47,P052,Pumpkin Spice Mix,Seasonal,3.41,1,3.41
INV200344,C1024,2024-01-18 01:15:00,P012,Parmesan,Dairy,3.65,1,3.65
INV200264,C1205,2024-01-18 17:17:44,P050,BBQ Sauce,Seasonal,3.77,3,11.31
INV200264,C1205,2024-01-18 17:17:44,P034,Salmon (lb),Seafood,9.72,1,9.72
INV200150,C1208,2024-01-18 22:55:30,P022,Salsa,Snacks,2.37,1,2.37
INV200150,C1208,2024-01-18 22:55:30,P020,Chips,Snacks,3.66,1,3.66
INV200925,C1206,2024-01-19 03:39:26,P013,Garlic Bread,Bakery,2.28,2,4.56
INV200587,C1245,2024-01-20 02:28:42,P013,Garlic Bread,Bakery,2.54,2,5.08
INV200037,C1066,2024-01-20 03:43:36,P022,Salsa,Snacks,3.34,1,3.34
INV200620,C1085,2024-01-20 05:29:02,P031,Apples (Bag),Produce,2.79,1,2.79
INV200620,C1085,2024-01-20 05:29:02,P004,Eggs (Dozen),Dairy,2.54,1,2.54
INV200620,C1085,2024-01-20 05:29:02,P001,Bread,Bakery,3.1,2,6.2
INV200487,C1075,2024-01-21 00:58:50,P041,Toilet Paper,Household,6.36,5,31.8
INV200487,C1075,2024-01-21 00:58:50,P051,Hot Dogs,Seasonal,4.24,3,12.72
INV200487,C1075,2024-01-21 00:58:50,P050,BBQ Sauce,Seasonal,3.61,2,7.22
INV200487,C1075,2024-01-21 00:58:50,P006,Sugar,Pantry,1.32,3,3.96
INV200487,C1075,2024-01-21 00:58:50,P021,Soda,Beverages,1.45,3,4.35
INV201161,C1220,2024-01-21 02:59:06,P021,Soda,Beverages,2.09,2,4.18
INV201161,C1220,2024-01-21 02:59:06,P020,Chips,Snacks,2.2,3,6.6
INV201161,C1220,2024-01-21 02:59:06,P031,Apples (Bag),Produce,3.34,4,13.36
INV201161,C1220,2024-01-21 02:59:06,P053,Turkey (lb),Seasonal,1.7,3,5.1
INV201161,C1220,2024-01-21 02:59:06,P022,Salsa,Snacks,2.86,2,5.72
INV200623,C1145,2024-01-21 05:16:28,P030,Bananas (Bunch),Produce,1.45,1,1.45
INV200258,C1196,2024-01-21 09:01:51,P030,Bananas (Bunch),Produce,1.05,3,3.15
INV200258,C1196,2024-01-21 09:01:51,P052,Pumpkin Spice Mix,Seasonal,4.43,5,22.15
INV200258,C1196,2024-01-21 09:01:51,P022,Salsa,Snacks,3.48,2,6.96
INV200258,C1196,2024-01-21 09:01:51,P020,Chips,Snacks,2.33,2,4.66
INV200258,C1196,2024-01-21 09:01:51,P051,Hot Dogs,Seasonal,2.21,2,4.42
INV200369,C1110,2024-01-21 11:46:43,P004,Eggs (Dozen),Dairy,3.3,1,3.3
INV200721,C1064,2024-01-21 21:47:03,P054,Cranberry Sauce,Seasonal,2.56,1,2.56
INV200063,C1006,2024-01-22 06:57:13,P003,Jam,Pantry,2.54,1,2.54
INV200437,C1178,2024-01-22 17:36:19,P010,Pasta,Pantry,1.16,4,4.64
INV200437,C1178,2024-01-22 17:36:19,P033,Ground Beef (lb),Meat,4.58,2,9.16
INV200057,C1062,2024-01-22 23:25:39,P030,Bananas (Bunch),Produce,1.32,4,5.28
INV200057,C1062,2024-01-22 23:25:39,P021,Soda,Beverages,1.68,2,3.36
INV200057,C1062,2024-01-22 23:25:39,P004,Eggs (Dozen),Dairy,3.0,2,6.0
INV200486,C1056,2024-01-23 08:29:35,P007,Creamer,Dairy,2.78,1,2.78
INV200486,C1056,2024-01-23 08:29:35,P005,Coffee,Beverages,8.6,1,8.6
INV200262,C1134,2024-01-23 12:53:58,P007,Creamer,Dairy,2.59,1,2.59
INV200293,C1194,2024-01-23 13:07:41,P020,Chips,Snacks,3.18,2,6.36
INV200293,C1194,2024-01-23 13:07:41,P021,Soda,Beverages,2.04,1,2.04
INV200937,C1149,2024-01-24 01:31:59,P006,Sugar,Pantry,1.38,2,2.76
INV200937,C1149,2024-01-24 01:31:59,P005,Coffee,Beverages,7.39,2,14.78
INV200302,C1081,2024-01-24 07:26:57,P007,Creamer,Dairy,2.17,3,6.51
INV200302,C1081,2024-01-24 07:26:57,P002,Butter,Dairy,2.37,5,11.85
INV200302,C1081,2024-01-24 07:26:57,P005,Coffee,Beverages,7.45,2,14.9
INV200907,C1016,2024-01-24 17:31:16,P032,Chicken Breast (lb),Meat,4.77,1,4.77
INV200456,C1064,2024-01-25 00:44:19,P010,Pasta,Pantry,1.79,1,1.79
INV200434,C1082,2024-01-25 06:58:49,P052,Pumpkin Spice Mix,Seasonal,5.74,2,11.48
INV200434,C1082,2024-01-25 06:58:49,P003,Jam,Pantry,2.58,2,5.16
INV200476,C1246,2024-01-25 14:47:41,P003,Jam,Pantry,3.73,1,3.73
INV200232,C1218,2024-01-25 18:58:32,P034,Salmon (lb),Seafood,7.53,6,45.18
INV200232,C1218,2024-01-25 18:58:32,P042,Laundry Detergent,Household,9.24,3,27.72
INV200232,C1218,2024-01-25 18:58:32,P054,Cranberry Sauce,Seasonal,2.42,3,7.26
INV200649,C1080,2024-01-25 20:06:17,P013,Garlic Bread,Bakery,3.36,1,3.36
INV200649,C1080,2024-01-25 20:06:17,P006,Sugar,Pantry,1.28,3,3.84
INV200649,C1080,2024-01-25 20:06:17,P010,Pasta,Pantry,1.96,1,1.96
INV200649,C1080,2024-01-25 20:06:17,P005,Coffee,Beverages,9.27,2,18.54
INV200569,C1011,2024-01-25 22:33:48,P022,Salsa,Snacks,3.02,1,3.02
INV201087,C1031,2024-01-26 03:02:52,P006,Sugar,Pantry,1.03,2,2.06
INV201087,C1031,2024-01-26 03:02:52,P005,Coffee,Beverages,9.36,1,9.36
INV200868,C1043,2024-01-26 06:22:11,P031,Apples (Bag),Produce,2.71,1,2.71
INV200370,C1115,2024-01-26 07:04:14,P030,Bananas (Bunch),Produce,0.83,1,0.83
INV200231,C1140,2024-01-26 07:52:50,P053,Turkey (lb),Seasonal,2.95,1,2.95
INV200231,C1140,2024-01-26 07:52:50,P003,Jam,Pantry,3.08,2,6.16
INV200577,C1000,2024-01-26 10:04:34,P051,Hot Dogs,Seasonal,3.82,1,3.82
INV200577,C1000,2024-01-26 10:04:34,P003,Jam,Pantry,3.38,2,6.76
INV200523,C1044,2024-01-26 13:56:26,P005,Coffee,Beverages,9.35,1,9.35
INV200523,C1044,2024-01-26 13:56:26,P007,Creamer,Dairy,2.85,1,2.85
INV200324,C1019,2024-01-27 14:18:25,P005,Coffee,Beverages,11.81,1,11.81
INV200809,C1196,2024-01-27 19:05:38,P006,Sugar,Pantry,1.62,7,11.34
INV200809,C1196,2024-01-27 19:05:38,P020,Chips,Snacks,3.95,3,11.85
INV200809,C1196,2024-01-27 19:05:38,P005,Coffee,Beverages,6.28,4,25.12
INV200809,C1196,2024-01-27 19:05:38,P041,Toilet Paper,Household,8.9,2,17.8
INV200677,C1075,2024-01-27 22:12:24,P040,Paper Towels,Household,3.47,3,10.41
INV200677,C1075,2024-01-27 22:12:24,P020,Chips,Snacks,3.87,2,7.74
INV200677,C1075,2024-01-27 22:12:24,P021,Soda,Beverages,1.75,3,5.25
INV200615,C1165,2024-01-27 23:48:47,P031,Apples (Bag),Produce,3.91,3,11.73
INV200615,C1165,2024-01-27 23:48:47,P003,Jam,Pantry,3.99,4,15.96
INV200615,C1165,2024-01-27 23:48:47,P001,Bread,Bakery,3.0,2,6.0
INV200562,C1169,2024-01-28 01:13:00,P020,Chips,Snacks,3.53,2,7.06
INV200562,C1169,2024-01-28 01:13:00,P031,Apples (Bag),Produce,3.09,1,3.09
INV200562,C1169,2024-01-28 01:13:00,P033,Ground Beef (lb),Meat,4.4,2,8.8
INV200303,C1095,2024-01-28 09:35:22,P013,Garlic Bread,Bakery,3.26,3,9.78
INV200303,C1095,2024-01-28 09:35:22,P010,Pasta,Pantry,1.21,1,1.21
INV200663,C1058,2024-01-28 17:13:40,P003,Jam,Pantry,3.5,1,3.5
INV201099,C1172,2024-01-29 06:31:56,P030,Bananas (Bunch),Produce,1.22,2,2.44
INV200712,C1130,2024-01-29 06:55:49,P020,Chips,Snacks,2.83,3,8.49
INV200712,C1130,2024-01-29 06:55:49,P010,Pasta,Pantry,2.34,1,2.34
INV200681,C1029,2024-01-29 18:19:38,P054,Cranberry Sauce,Seasonal,2.88,2,5.76
INV200272,C1056,2024-01-29 18:51:51,P031,Apples (Bag),Produce,4.19,3,12.57
INV200272,C1056,2024-01-29 18:51:51,P002,Butter,Dairy,2.29,1,2.29
INV200664,C1047,2024-01-30 00:35:20,P030,Bananas (Bunch),Produce,1.37,2,2.74
INV201027,C1077,2024-01-31 00:18:23,P001,Bread,Bakery,2.74,1,2.74
INV201027,C1077,2024-01-31 00:18:23,P020,Chips,Snacks,2.73,1,2.73
INV201027,C1077,2024-01-31 00:18:23,P052,Pumpkin Spice Mix,Seasonal,3.27,2,6.54
INV201185,C1162,2024-01-31 14:18:28,P051,Hot Dogs,Seasonal,4.74,5,23.7
INV201185,C1162,2024-01-31 14:18:28,P055,Chocolate Box,Seasonal,6.96,3,20.88
INV201185,C1162,2024-01-31 14:18:28,P030,Bananas (Bunch),Produce,0.98,4,3.92
INV200908,C1175,2024-02-01 03:33:27,P006,Sugar,Pantry,1.99,2,3.98
INV200387,C1193,2024-02-01 10:19:08,P052,Pumpkin Spice Mix,Seasonal,5.22,4,20.88
INV200387,C1193,2024-02-01 10:19:08,P034,Salmon (lb),Seafood,9.86,2,19.72
INV200387,C1193,2024-02-01 10:19:08,P010,Pasta,Pantry,2.56,5,12.8
INV200387,C1193,2024-02-01 10:19:08,P040,Paper Towels,Household,5.46,3,16.38
INV200182,C1010,2024-02-01 21:17:43,P010,Pasta,Pantry,2.29,1,2.29
INV200182,C1010,2024-02-01 21:17:43,P012,Parmesan,Dairy,5.69,1,5.69
INV200182,C1010,2024-02-01 21:17:43,P030,Bananas (Bunch),Produce,1.19,1,1.19
INV200515,C1065,2024-02-01 23:42:59,P003,Jam,Pantry,3.64,2,7.28
INV200180,C1020,2024-02-02 00:08:51,P042,Laundry Detergent,Household,7.14,2,14.28
INV200180,C1020,2024-02-02 00:08:51,P034,Salmon (lb),Seafood,8.28,2,16.56
INV200180,C1020,2024-02-02 00:08:51,P055,Chocolate Box,Seasonal,10.53,4,42.12
INV200180,C1020,2024-02-02 00:08:51,P003,Jam,Pantry,3.09,3,9.27
INV200054,C1203,2024-02-02 07:40:27,P054,Cranberry Sauce,Seasonal,2.65,2,5.3
INV200054,C1203,2024-02-02 07:40:27,P033,Ground Beef (lb),Meat,6.08,1,6.08
INV200054,C1203,2024-02-02 07:40:27,P055,Chocolate Box,Seasonal,6.13,2,12.26
INV200756,C1228,2024-02-02 13:44:28,P004,Eggs (Dozen),Dairy,3.37,1,3.37
INV200756,C1228,2024-02-02 13:44:28,P050,BBQ Sauce,Seasonal,4.67,1,4.67
INV200847,C1244,2024-02-02 21:24:12,P055,Chocolate Box,Seasonal,10.03,1,10.03
INV200932,C1169,2024-02-03 05:30:42,P011,Tomato Sauce,Pantry,2.52,1,2.52
INV200932,C1169,2024-02-03 05:30:42,P007,Creamer,Dairy,1.8,1,1.8
INV200689,C1043,2024-02-03 05:41:52,P001,Bread,Bakery,3.31,1,3.31
INV200689,C1043,2024-02-03 05:41:52,P010,Pasta,Pantry,2.73,2,5.46
INV200140,C1041,2024-02-03 07:28:37,P053,Turkey (lb),Seasonal,1.96,3,5.88
INV200121,C1074,2024-02-03 10:01:36,P004,Eggs (Dozen),Dairy,2.65,3,7.95
INV200121,C1074,2024-02-03 10:01:36,P013,Garlic Bread,Bakery,2.78,3,8.34
INV200121,C1074,2024-02-03 10:01:36,P021,Soda,Beverages,1.56,2,3.12
INV200107,C1043,2024-02-03 14:33:53,P001,Bread,Bakery,3.04,2,6.08
INV200107,C1043,2024-02-03 14:33:53,P003,Jam,Pantry,2.62,1,2.62
INV200107,C1043,2024-02-03 14:33:53,P020,Chips,Snacks,2.55,1,2.55
INV201062,C1073,2024-02-03 14:53:34,P032,Chicken Breast (lb),Meat,4.62,2,9.24
INV201062,C1073,2024-02-03 14:53:34,P010,Pasta,Pantry,2.42,6,14.52
INV201062,C1073,2024-02-03 14:53:34,P020,Chips,Snacks,1.67,3,5.01
INV201197,C1002,2024-02-03 18:09:21,P031,Apples (Bag),Produce,3.54,4,14.16
INV201197,C1002,2024-02-03 18:09:21,P007,Creamer,Dairy,2.16,5,10.8
INV201197,C1002,2024-02-03 18:09:21,P040,Paper Towels,Household,5.93,2,11.86
INV200419,C1151,2024-02-03 21:33:05,P041,Toilet Paper,Household,4.75,1,4.75
INV200634,C1192,2024-02-03 22:56:51,P001,Bread,Bakery,3.38,1,3.38
INV200634,C1192,2024-02-03 22:56:51,P032,Chicken Breast (lb),Meat,5.03,2,10.06
INV201073,C1201,2024-02-04 05:09:41,P030,Bananas (Bunch),Produce,1.06,1,1.06
INV201073,C1201,2024-02-04 05:09:41,P041,Toilet Paper,Household,8.03,2,16.06
INV200641,C1197,2024-02-04 16:38:13,P050,BBQ Sauce,Seasonal,2.21,3,6.63
INV200115,C1205,2024-02-05 04:31:07,P005,Coffee,Beverages,11.66,3,34.98
INV200115,C1205,2024-02-05 04:31:07,P034,Salmon (lb),Seafood,9.58,2,19.16
INV200921,C1068,2024-02-05 15:27:56,P001,Bread,Bakery,2.59,1,2.59
INV200921,C1068,2024-02-05 15:27:56,P050,BBQ Sauce,Seasonal,3.02,1,3.02
INV200298,C1168,2024-02-05 18:35:30,P030,Bananas (Bunch),Produce,1.37,1,1.37
INV200164,C1136,2024-02-05 20:59:15,P005,Coffee,Beverages,11.14,1,11.14
INV200132,C1031,2024-02-05 22:45:58,P034,Salmon (lb),Seafood,9.01,1,9.01
INV200235,C1006,2024-02-06 00:04:51,P042,Laundry Detergent,Household,11.8,1,11.8
INV200872,C1048,2024-02-06 18:40:40,P007,Creamer,Dairy,2.6,2,5.2
INV200872,C1048,2024-02-06 18:40:40,P054,Cranberry Sauce,Seasonal,1.59,2,3.18
INV200872,C1048,2024-02-06 18:40:40,P022,Salsa,Snacks,3.72,1,3.72
INV201109,C1156,2024-02-06 19:07:29,P034,Salmon (lb),Seafood,8.62,3,25.86
INV201109,C1156,2024-02-06 19:07:29,P052,Pumpkin Spice Mix,Seasonal,4.6,3,13.8
INV201109,C1156,2024-02-06 19:07:29,P002,Butter,Dairy,2.49,2,4.98
INV201109,C1156,2024-02-06 19:07:29,P003,Jam,Pantry,3.4,7,23.8
INV201109,C1156,2024-02-06 19:07:29,P055,Chocolate Box,Seasonal,12.24,3,36.72
INV200768,C1023,2024-02-06 23:09:56,P010,Pasta,Pantry,1.45,1,1.45
INV200768,C1023,2024-02-06 23:09:56,P011,Tomato Sauce,Pantry,1.76,1,1.76
INV200292,C1242,2024-02-07 02:20:28,P052,Pumpkin Spice Mix,Seasonal,5.58,2,11.16
INV200783,C1146,2024-02-07 21:54:14,P003,Jam,Pantry,3.64,8,29.12
INV200783,C1146,2024-02-07 21:54:14,P001,Bread,Bakery,3.48,3,10.44
INV200783,C1146,2024-02-07 21:54:14,P053,Turkey (lb),Seasonal,1.54,2,3.08
INV200463,C1207,2024-02-08 03:29:44,P030,Bananas (Bunch),Produce,1.13,4,4.52
INV200463,C1207,2024-02-08 03:29:44,P022,Salsa,Snacks,3.03,3,9.09
INV200463,C1207,2024-02-08 03:29:44,P006,Sugar,Pantry,1.58,3,4.74
INV200463,C1207,2024-02-08 03:29:44,P052,Pumpkin Spice Mix,Seasonal,3.26,3,9.78
INV200491,C1096,2024-02-08 05:32:11,P030,Bananas (Bunch),Produce,1.24,1,1.24
INV200491,C1096,2024-02-08 05:32:11,P033,Ground Beef (lb),Meat,6.92,1,6.92
INV200261,C1061,2024-02-08 08:39:04,P001,Bread,Bakery,3.02,1,3.02
INV200261,C1061,2024-02-08 08:39:04,P003,Jam,Pantry,3.96,1,3.96
INV200071,C1249,2024-02-08 18:54:38,P010,Pasta,Pantry,1.1,1,1.1
INV200071,C1249,2024-02-08 18:54:38,P022,Salsa,Snacks,2.84,1,2.84
INV200071,C1249,2024-02-08 18:54:38,P050,BBQ Sauce,Seasonal,2.23,1,2.23
INV200401,C1100,2024-02-08 19:48:33,P032,Chicken Breast (lb),Meat,5.43,3,16.29
INV200401,C1100,2024-02-08 19:48:33,P055,Chocolate Box,Seasonal,14.83,1,14.83
INV200793,C1074,2024-02-08 23:45:37,P041,Toilet Paper,Household,5.99,2,11.98
INV200793,C1074,2024-02-08 23:45:37,P010,Pasta,Pantry,2.86,4,11.44
INV200793,C1074,2024-02-08 23:45:37,P055,Chocolate Box,Seasonal,12.39,3,37.17
INV200052,C1037,2024-02-09 04:41:41,P055,Chocolate Box,Seasonal,10.86,1,10.86
INV200960,C1147,2024-02-09 12:12:33,P003,Jam,Pantry,3.94,2,7.88
INV200960,C1147,2024-02-09 12:12:33,P001,Bread,Bakery,2.91,1,2.91
INV200960,C1147,2024-02-09 12:12:33,P010,Pasta,Pantry,1.55,1,1.55
INV200627,C1179,2024-02-09 14:18:23,P052,Pumpkin Spice Mix,Seasonal,3.83,1,3.83
INV200627,C1179,2024-02-09 14:18:23,P002,Butter,Dairy,2.39,2,4.78
INV200627,C1179,2024-02-09 14:18:23,P001,Bread,Bakery,3.39,1,3.39
INV200051,C1156,2024-02-09 16:12:55,P005,Coffee,Beverages,10.06,2,20.12
INV200051,C1156,2024-02-09 16:12:55,P041,Toilet Paper,Household,5.51,4,22.04
INV200051,C1156,2024-02-09 16:12:55,P007,Creamer,Dairy,2.86,3,8.58
INV201135,C1118,2024-02-09 16:30:31,P003,Jam,Pantry,3.21,2,6.42
